stock,strategy,train_return,test_return,train_dd,test_dd,ok
600745.XSHG,macd,8.6603,2.0193,0.1834,0.1478,True
600745.XSHG,ma_cross,0.3876,0.7663,0.3488,0.2622,True
000001.XSHE,macd,0.7128,0.0345,0.0997,0.0319,True
000001.XSHE,ma_cross,0.2860,-0.0161,0.1149,0.0527,True
002701.XSHE,macd,0.7949,0.1717,0.1253,0.0811,True
002701.XSHE,ma_cross,0.5188,-0.0362,0.1372,0.1100,True
000002.XSHE,macd,0.8889,0.0584,0.1686,0.1069,True
000002.XSHE,ma_cross,0.3663,0.0276,0.2177,0.1386,True
000006.XSHE,macd,2.8487,0.6951,0.1449,0.1697,True
000006.XSHE,ma_cross,0.7971,0.5191,0.4076,0.1998,True
000008.XSHE,macd,1.1797,0.1454,0.1707,0.0737,True
000008.XSHE,ma_cross,0.4471,0.0702,0.2333,0.1091,True
000009.XSHE,macd,0.6298,0.1661,0.1647,0.0852,True
000009.XSHE,ma_cross,0.3681,0.0980,0.1831,0.1737,True
000010.XSHE,macd,3.4753,0.0850,0.2010,0.1073,True
000010.XSHE,ma_cross,1.1333,-0.0310,0.3126,0.1215,True
000011.XSHE,macd,0.8416,0.1517,0.1797,0.1106,True
000011.XSHE,ma_cross,0.3859,0.0659,0.2108,0.1383,True
000012.XSHE,macd,0.2976,0.0868,0.1054,0.0531,True
000012.XSHE,ma_cross,-0.0010,0.0023,0.1591,0.0553,True
